shipper_id,total_days,worked_days,worked_days_ratio,mon_prob,tue_prob,wed_prob,thu_prob,fri_prob,sat_prob,sun_prob
14770,41.0,4.0,0.0975609756098,0.0,0.666666666667,0.166666666667,0.166666666667,0.0,0.0,0.0
14795,191.0,17.0,0.0890052356021,0.127659574468,0.595744680851,0.127659574468,0.063829787234,0.0851063829787,0.0,0.0
14818,68.0,7.0,0.102941176471,0.3,0.0,0.1,0.05,0.55,0.0,0.0
14831,241.0,128.0,0.53112033195,0.123312331233,0.21602160216,0.249324932493,0.256525652565,0.149414941494,0.0,0.00540054005401
14862,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
14896,35.0,6.0,0.171428571429,0.90625,0.0625,0.0104166666667,0.0208333333333,0.0,0.0,0.0
14905,175.0,10.0,0.0571428571429,0.293706293706,0.0,0.146853146853,0.00699300699301,0.412587412587,0.13986013986,0.0
14921,311.0,122.0,0.392282958199,0.202998126171,0.229856339788,0.209244222361,0.233603997502,0.12367270456,0.0,0.000624609618988
15025,43.0,12.0,0.279069767442,0.037037037037,0.222222222222,0.333333333333,0.296296296296,0.111111111111,0.0,0.0
15066,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
15213,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
15348,55.0,5.0,0.0909090909091,0.666666666667,0.0,0.333333333333,0.0,0.0,0.0,0.0
15387,6.0,3.0,0.5,0.75,0.0,0.125,0.0,0.125,0.0,0.0
15468,341.0,55.0,0.161290322581,0.337662337662,0.100840336134,0.0572956455309,0.366692131398,0.0565317035905,0.0534759358289,0.0275019098549
15588,37.0,13.0,0.351351351351,0.471698113208,0.22641509434,0.150943396226,0.150943396226,0.0,0.0,0.0
15633,269.0,18.0,0.0669144981413,0.222222222222,0.240740740741,0.203703703704,0.0185185185185,0.314814814815,0.0,0.0
15645,66.0,3.0,0.0454545454545,0.0,0.0,0.75,0.0,0.25,0.0,0.0
15647,142.0,53.0,0.37323943662,0.191037735849,0.202830188679,0.224056603774,0.228773584906,0.153301886792,0.0,0.0
15768,5.0,4.0,0.8,0.0,0.2,0.0,0.4,0.4,0.0,0.0
15777,82.0,3.0,0.0365853658537,0.111111111111,0.0,0.555555555556,0.0,0.333333333333,0.0,0.0
15834,305.0,6.0,0.0196721311475,0.0263157894737,0.236842105263,0.236842105263,0.0789473684211,0.421052631579,0.0,0.0
15978,7.0,5.0,0.714285714286,0.111111111111,0.111111111111,0.111111111111,0.333333333333,0.333333333333,0.0,0.0
16298,180.0,6.0,0.0333333333333,0.0,0.047619047619,0.0238095238095,0.452380952381,0.47619047619,0.0,0.0
16367,259.0,10.0,0.03861003861,0.136363636364,0.0,0.590909090909,0.136363636364,0.136363636364,0.0,0.0
16477,83.0,24.0,0.289156626506,0.378378378378,0.117117117117,0.162162162162,0.306306306306,0.018018018018,0.018018018018,0.0
16512,8.0,6.0,0.75,0.0,0.125,0.375,0.3125,0.125,0.0625,0.0
16579,57.0,3.0,0.0526315789474,0.470588235294,0.529411764706,0.0,0.0,0.0,0.0,0.0
16613,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
16648,248.0,3.0,0.0120967741935,0.0,0.0,0.541666666667,0.416666666667,0.0416666666667,0.0,0.0
16659,79.0,16.0,0.20253164557,0.117647058824,0.137254901961,0.392156862745,0.21568627451,0.137254901961,0.0,0.0
16772,4.0,4.0,1.0,0.0714285714286,0.892857142857,0.0,0.0357142857143,0.0,0.0,0.0
16773,30.0,7.0,0.233333333333,0.0,0.291666666667,0.333333333333,0.125,0.25,0.0,0.0
16777,9.0,4.0,0.444444444444,0.0344827586207,0.0,0.0,0.103448275862,0.862068965517,0.0,0.0
16901,108.0,32.0,0.296296296296,0.147651006711,0.147651006711,0.302013422819,0.154362416107,0.234899328859,0.00671140939597,0.00671140939597
17019,49.0,16.0,0.326530612245,0.451612903226,0.177419354839,0.112903225806,0.209677419355,0.0483870967742,0.0,0.0
17140,217.0,47.0,0.216589861751,0.364842454395,0.0530679933665,0.189054726368,0.341625207297,0.0514096185738,0.0,0.0
17210,121.0,15.0,0.123966942149,0.0188679245283,0.198113207547,0.283018867925,0.330188679245,0.169811320755,0.0,0.0
17218,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
17278,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
17299,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
17458,21.0,3.0,0.142857142857,0.0666666666667,0.0,0.866666666667,0.0666666666667,0.0,0.0,0.0
17472,63.0,7.0,0.111111111111,0.0714285714286,0.142857142857,0.357142857143,0.0714285714286,0.214285714286,0.0714285714286,0.0714285714286
